NO,short,full,press,link,domain,kind,rank
1,TOCS,ACM Transactions on Computer Systems,ACM,http://dblp.org/db/journals/tocs/,计算机体系结构/并行与分布计算/存储系统,期刊,A
2,TOS,ACM Transactions on Storage,ACM,http://dblp.org/db/journals/tos/,计算机体系结构/并行与分布计算/存储系统,期刊,A
3,TCAD,IEEE Transactions on Computer-Aided Design of Integrated Circuits And System,IEEE,http://dblp.org/db/journals/tcad/,计算机体系结构/并行与分布计算/存储系统,期刊,A
4,TC,IEEE Transactions on Computers,IEEE,http://dblp.org/db/journals/tc/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,A
5,TPDS,IEEE Transactions on Parallel and Distributed Systems,IEEE,http://dblp.org/db/journals/tpds/,计算机体系结构/并行与分布计算/存储系统,期刊,A
6,TACO,ACM Transactions on Architecture and Code Optimization,ACM,http://dblp.org/db/journals/taco/,计算机体系结构/并行与分布计算/存储系统,期刊,A
1,TAAS,ACM Transactions on Autonomous and Adaptive Systems,ACM,http://dblp.org/db/journals/taas/,计算机体系结构/并行与分布计算/存储系统,期刊,B
2,TODAES,ACM Transactions on Design Automation of Electronic Systems,ACM,http://dblp.org/db/journals/todaes/,计算机体系结构/并行与分布计算/存储系统,期刊,B
3,TECS,ACM Transactions on Embedded Computing Systems,ACM,http://dblp.org/db/journals/tecs/,计算机体系结构/并行与分布计算/存储系统,期刊,B
4,TRETS,ACM Transactions on Reconfigurable Technology and Systems,ACM,http://dblp.org/db/journals/trets/,计算机体系结构/并行与分布计算/存储系统,期刊,B
5,TVLSI,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE,http://dblp.org/db/journals/tvlsi/,计算机体系结构/并行与分布计算/存储系统,期刊,B
6,JPDC,Journal of Parallel and Distributed Computing,Elsevier,http://dblp.org/db/journals/jpdc/,计算机体系结构/并行与分布计算/存储系统,期刊,B
7,JSA,Journal of Systems Architecture: Embedded Software Design,Elsevier,http://dblp.org/db/journals/jsa/,计算机体系结构/并行与分布计算/存储系统,期刊,B
8,PARCO,Parallel Computing,Elsevier,http://dblp.org/db/conf/parco/,计算机体系结构/并行与分布计算/存储系统,期刊,B
9,,Performance Evaluation: An International Journal,Elsevier,http://www.journals.elsevier.com/performance-evaluation/,计算机体系结构/并行与分布计算/存储系统,期刊,B
1,JETC,ACM Journal on Emerging Technologies in Computing Systems,ACM,http://dblp.org/db/journals/jetc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
2,,Concurrency and Computation: Practice and Experience,Wiley,http://dblp.org/db/journals/concurrency/,计算机体系结构/并行与分布计算/存储系统,期刊,C
3,DC,Distributed Computing,Springer,http://dblp.org/db/journals/dc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
4,FGCS,Future Generation Computer Systems,Elsevier,http://dblp.org/db/journals/fgcs/,计算机体系结构/并行与分布计算/存储系统,期刊,C
5,TCC,IEEE Transactions on Cloud Computing,IEEE,https://dblp.org/db/journals/tcc/,计算机体系结构/并行与分布计算/存储系统,期刊,C
6,Integration,"Integration, the VLSI Journal",Elsevier,http://dblp.org/db/journals/integration/,计算机体系结构/并行与分布计算/存储系统,期刊,C
7,JETTA,Journal of Electronic Testing-Theory and Applications,Springer,http://link.springer.com/journal/10836,计算机体系结构/并行与分布计算/存储系统,期刊,C
8,JGC,Journal of Grid computing,Springer,https://dblp.org/db/journals/grid/,计算机体系结构/并行与分布计算/存储系统,期刊,C
10,RTS,Real-Time Systems,Springer,http://dblp.org/db/journals/rts/,计算机体系结构/并行与分布计算/存储系统,期刊,C
11,TJSC,The Journal of Supercomputing,Springer,http://dblp.org/db/journals/tjs/,计算机体系结构/并行与分布计算/存储系统,期刊,C
12,TCASI,IEEE Transactions on Circuits and Systems I: Regular Papers,IEEE,https://dblp.org/db/journals/tcasI/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,C
13,CCF-THPC,CCF Transactions on High Performance Computing,CCF,https://dblp.org/db/journals/ccfthpc/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,C
14,TSUSC,IEEE Transactions on Sustainable Computing,IEEE,https://dblp.org/db/journals/tsusc/index.html,计算机体系结构/并行与分布计算/存储系统,期刊,C
1,PPoPP,ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming,ACM,http://dblp.org/db/conf/ppopp/,计算机体系结构/并行与分布计算/存储系统,会议,A
2,FAST,Conference on File and Storage Technologies,USENIX,http://dblp.org/db/conf/fast/,计算机体系结构/并行与分布计算/存储系统,会议,A
3,DAC,Design Automation Conference,ACM,https://dblp.org/db/conf/dac/,计算机体系结构/并行与分布计算/存储系统,会议,A
4,HPCA,High Performance Computer Architecture,IEEE,http://dblp.org/db/conf/hpca/,计算机体系结构/并行与分布计算/存储系统,会议,A
5,MICRO,IEEE/ACM International Symposium on Microarchitecture,IEEE/ACM,https://dblp.org/db/conf/micro/,计算机体系结构/并行与分布计算/存储系统,会议,A
6,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.org/db/conf/sc/,计算机体系结构/并行与分布计算/存储系统,会议,A
7,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ACM,http://dblp.org/db/conf/asplos/,计算机体系结构/并行与分布计算/存储系统,会议,A
8,ISCA,International Symposium on Computer Architecture,ACM /IEEE,http://dblp.org/db/conf/isca/,计算机体系结构/并行与分布计算/存储系统,会议,A
9,USENIX ATC,USENIX Annual Technical Conference,USENIX,http://dblp.org/db/conf/usenix/index.html,计算机体系结构/并行与分布计算/存储系统,会议,A
10,EuroSys,European Conference on Computer Systems,ACM,http://dblp.org/db/conf/eurosys/,计算机体系结构/并行与分布计算/存储系统,会议,A
1,SoCC,ACM Symposium on Cloud Computing,ACM,http://dblp.org/db/conf/cloud/,计算机体系结构/并行与分布计算/存储系统,会议,B
2,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.org/db/conf/spaa/,计算机体系结构/并行与分布计算/存储系统,会议,B
3,PODC,ACM Symposium on Principles of Distributed Computing,ACM,http://dblp.org/db/conf/podc/,计算机体系结构/并行与分布计算/存储系统,会议,B
4,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,http://dblp.org/db/conf/fpga/,计算机体系结构/并行与分布计算/存储系统,会议,B
5,CGO,Code Generation and Optimization,IEEE/ACM,http://dblp.org/db/conf/cgo/,计算机体系结构/并行与分布计算/存储系统,会议,B
6,DATE,"Design, Automation & Test in Europe",IEEE/ACM,http://dblp.org/db/conf/date/,计算机体系结构/并行与分布计算/存储系统,会议,B
7,HOT CHIPS,Hot Chips: A Symposium on High Performance Chips,IEEE,http://www.hotchips.org/,计算机体系结构/并行与分布计算/存储系统,会议,B
8,CLUSTER,IEEE International Conference on Cluster Computing,IEEE,https://dblp.org/db/conf/cluster/,计算机体系结构/并行与分布计算/存储系统,会议,B
9,ICCD,International Conference on Computer Design,IEEE,http://dblp.org/db/conf/iccd/,计算机体系结构/并行与分布计算/存储系统,会议,B
10,ICCAD,International Conference on Computer-Aided Design,IEEE/ACM,http://dblp.org/db/conf/iccad/,计算机体系结构/并行与分布计算/存储系统,会议,B
11,ICDCS,International Conference on Distributed Computing Systems,IEEE,http://dblp.org/db/conf/icdcs/,计算机体系结构/并行与分布计算/存储系统,会议,B
12,CODES+ISSS,International Conference on Hardware/Software Co-design and System Synthesis,ACM/ IEEE,http://dblp.org/db/conf/codes/index.html,计算机体系结构/并行与分布计算/存储系统,会议,B
13,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,ACM,http://dblp.org/db/conf/hipeac/,计算机体系结构/并行与分布计算/存储系统,会议,B
14,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,ACM,http://dblp.org/db/conf/sigmetrics/,计算机体系结构/并行与分布计算/存储系统,会议,B
15,PACT,International Conference on Parallel Architectures and Compilation Techniques,IEEE/ACM,http://dblp.org/db/conf/IEEEpact/,计算机体系结构/并行与分布计算/存储系统,会议,B
16,ICPP,International Conference on Parallel Processing,,http://dblp.org/db/conf/icpp/,计算机体系结构/并行与分布计算/存储系统,会议,B
17,ICS,International Conference on Supercomputing,ACM,http://dblp.org/db/conf/ics/,计算机体系结构/并行与分布计算/存储系统,会议,B
18,VEE,International Conference on Virtual Execution Environments,ACM,http://dblp.org/db/conf/vee/,计算机体系结构/并行与分布计算/存储系统,会议,B
19,IPDPS,International Parallel & Distributed Processing Symposium,IEEE,http://dblp.org/db/conf/ipps/,计算机体系结构/并行与分布计算/存储系统,会议,B
20,Performance,"International Symposium on Computer Performance Modeling, Measurements and Evaluation",ACM,http://dblp.org/db/conf/performance/,计算机体系结构/并行与分布计算/存储系统,会议,B
21,HPDC,International Symposium on High Performance Distributed Computing,IEEE,http://dblp.org/db/conf/hpdc/,计算机体系结构/并行与分布计算/存储系统,会议,B
22,ITC,International Test Conference,IEEE,http://dblp.org/db/conf/itc/,计算机体系结构/并行与分布计算/存储系统,会议,B
23,LISA,Large Installation System Administration Conference,USENIX,http://dblp.org/db/conf/lisa/,计算机体系结构/并行与分布计算/存储系统,会议,B
24,MSST,Mass Storage Systems and Technologies,IEEE,http://dblp.org/db/conf/mss/,计算机体系结构/并行与分布计算/存储系统,会议,B
25,RTAS,Real-Time and Embedded Technology and Applications Symposium,IEEE,http://dblp.org/db/conf/rtas/,计算机体系结构/并行与分布计算/存储系统,会议,B
26,Euro-Par,European Conference on Parallel and Distributed Computing,Springer,http://dblp.org/db/conf/europar/,计算机体系结构/并行与分布计算/存储系统,会议,B
1,CF,ACM International Conference on Computing Frontiers,ACM,http://dblp.org/db/conf/cf,计算机体系结构/并行与分布计算/存储系统,会议,C
2,SYSTOR,ACM International Systems and Storage Conference,ACM,http://dblp.org/db/conf/systor/index.html,计算机体系结构/并行与分布计算/存储系统,会议,C
3,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,ACM/IEEE,http://dblp.org/db/conf/nocs,计算机体系结构/并行与分布计算/存储系统,会议,C
4,ASAP,"Application-Specific Systems, Architectures, and Processors",IEEE,http://dblp.org/db/conf/asap,计算机体系结构/并行与分布计算/存储系统,会议,C
5,ASP-DAC,Asia and South Pacific Design Automation Conference,ACM/IEEE,http://dblp.org/db/conf/aspdac,计算机体系结构/并行与分布计算/存储系统,会议,C
6,ETS,European Test Symposium,IEEE,http://dblp.org/db/conf/ets/,计算机体系结构/并行与分布计算/存储系统,会议,C
7,FPL,Field Programmable Logic and Applications,IEEE,http://dblp.org/db/conf/fpl/,计算机体系结构/并行与分布计算/存储系统,会议,C
8,FCCM,Field-Programmable Custom Computing Machines,IEEE,http://dblp.org/db/conf/fccm/,计算机体系结构/并行与分布计算/存储系统,会议,C
9,GLSVLSI,Great Lakes Symposium on VLSI,ACM/IEEE,http://dblp.org/db/conf/glvlsi/,计算机体系结构/并行与分布计算/存储系统,会议,C
10,ATS,IEEE Asian Test Symposium,IEEE,http://dblp.org/db/conf/ats/,计算机体系结构/并行与分布计算/存储系统,会议,C
11,HPCC,IEEE International Conference on High Performance Computing and Communications,IEEE,http://dblp.org/db/conf/hpcc/,计算机体系结构/并行与分布计算/存储系统,会议,C
12,HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",IEEE/ ACM,http://dblp.org/db/conf/hipc/index.html,计算机体系结构/并行与分布计算/存储系统,会议,C
13,MASCOTS,"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",IEEE,http://dblp.org/db/conf/mascots/,计算机体系结构/并行与分布计算/存储系统,会议,C
14,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,IEEE,http://dblp.org/db/conf/ispa/,计算机体系结构/并行与分布计算/存储系统,会议,C
15,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",ACM/IEEE,http://dblp.org/db/conf/ccgrid/,计算机体系结构/并行与分布计算/存储系统,会议,C
16,NPC,IFIP International Conference on Network and Parallel Computing,Springer,http://dblp.org/db/conf/npc/,计算机体系结构/并行与分布计算/存储系统,会议,C
17,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,IEEE,http://dblp.org/db/conf/ica3pp/,计算机体系结构/并行与分布计算/存储系统,会议,C
18,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",ACM,http://dblp.org/db/conf/cases/index.html,计算机体系结构/并行与分布计算/存储系统,会议,C
19,FPT,International Conference on Field-Programmable Technology,IEEE,http://dblp.org/db/conf/fpt/,计算机体系结构/并行与分布计算/存储系统,会议,C
20,ICPADS,International Conference on Parallel and Distributed Systems,IEEE,http://dblp.org/db/conf/icpads/,计算机体系结构/并行与分布计算/存储系统,会议,C
21,ISCAS,International Symposium on Circuits and Systems,IEEE,http://dblp.org/db/conf/iscas/,计算机体系结构/并行与分布计算/存储系统,会议,C
22,ISLPED,International Symposium on Low Power Electronics and Design,ACM/IEEE,http://dblp.org/db/conf/islped/,计算机体系结构/并行与分布计算/存储系统,会议,C
23,ISPD,International Symposium on Physical Design,ACM,http://dblp.org/db/conf/ispd/,计算机体系结构/并行与分布计算/存储系统,会议,C
24,HotI,Symposium on High-Performance Interconnects,IEEE,http://dblp.org/db/conf/hoti/,计算机体系结构/并行与分布计算/存储系统,会议,C
25,VTS,VLSI Test Symposium,IEEE,http://dblp.org/db/conf/vts/,计算机体系结构/并行与分布计算/存储系统,会议,C
26,ITC-Asia,International Test Conference in Asia,IEEE,https://dblp.org/db/conf/itc-asia/index.html,计算机体系结构/并行与分布计算/存储系统,会议,C
1,JSAC,IEEE Journal of Selected Areas in Communications,IEEE,http://dblp.org/db/journals/jsac/,计算机网络,期刊,A
2,TMC,IEEE Transactions on Mobile Computing,IEEE,http://dblp.org/db/journals/tmc/,计算机网络,期刊,A
3,TON,IEEE/ACM Transactions on Networking,IEEE/ACM,http://dblp.org/db/journals/ton/,计算机网络,期刊,A
1,TOIT,ACM Transactions on Internet Technology,ACM,http://dblp.org/db/journals/toit/,计算机网络,期刊,B
2,TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Applications",ACM,http://dblp.org/db/journals/tomccap/,计算机网络,期刊,B
3,TOSN,ACM Transactions on Sensor Networks,ACM,http://dblp.org/db/journals/tosn/,计算机网络,期刊,B
4,CN,Computer Networks,Elsevier,http://dblp.org/db/journals/cn/,计算机网络,期刊,B
5,TCOM,IEEE Transactions on Communications,IEEE,http://dblp.org/db/journals/tcom/,计算机网络,期刊,B
6,TWC,IEEE Transactions on Wireless Communications,IEEE,http://dblp.org/db/journals/twc/,计算机网络,期刊,B
1,,Ad Hoc Networks,Elsevier,http://dblp.org/db/journals/adhoc/,计算机网络,期刊,C
2,CC,Computer Communications,Elsevier,http://dblp.org/db/journals/comcom/,计算机网络,期刊,C
3,TNSM,IEEE Transactions on Network and Service Management,IEEE,http://dblp.org/db/journals/tnsm/,计算机网络,期刊,C
4,,IET Communications,IET,http://dblp.org/db/journals/iet-com/,计算机网络,期刊,C
5,JNCA,Journal of Network and Computer Applications,Elsevier,http://dblp.org/db/journals/jnca/,计算机网络,期刊,C
6,MONET,Mobile Networks & Applications,Springer,http://dblp.org/db/journals/monet/,计算机网络,期刊,C
7,,Networks,Wiley,http://dblp.org/db/journals/networks/,计算机网络,期刊,C
8,PPNA,Peer-to-Peer Networking and Applications,Springer,http://dblp.org/db/journals/ppna/,计算机网络,期刊,C
9,WCMC,Wireless Communications & Mobile Computing,Wiley.,http://dblp.org/db/journals/wicomm/,计算机网络,期刊,C
10,,Wireless Networks,Springer,http://dblp.org/db/journals/winet/,计算机网络,期刊,C
11,IOT,IEEE Internet of Things Journal,IEEE,https://dblp.org/db/journals/iot/index.html,计算机网络,期刊,C
1,SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",ACM,http://dblp.org/db/conf/sigcomm/index.html,计算机网络,会议,A
2,MobiCom,ACM International Conference on Mobile Computing and Networking,ACM,http://dblp.org/db/conf/mobicom/,计算机网络,会议,A
3,INFOCOM,IEEE International Conference on Computer Communications,IEEE,http://dblp.org/db/conf/infocom/,计算机网络,会议,A
4,NSDI,Symposium on Network System Design and Implementation,USENIX,http://dblp.org/db/conf/nsdi/,计算机网络,会议,A
1,SenSys,ACM Conference on Embedded Networked Sensor Systems,ACM,http://dblp.org/db/conf/sensys/,计算机网络,会议,B
2,CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,ACM,http://dblp.org/db/conf/conext/,计算机网络,会议,B
3,SECON,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,IEEE,http://dblp.org/db/conf/secon/,计算机网络,会议,B
4,IPSN,International Conference on Information Processing in Sensor Networks,IEEE/ACM,http://dblp.org/db/conf/ipsn/,计算机网络,会议,B
5,MobiSys,"International Conference on Mobile Systems, Applications, and Services",ACM,http://dblp.org/db/conf/mobisys/,计算机网络,会议,B
6,ICNP,International Conference on Network Protocols,IEEE,http://dblp.org/db/conf/icnp/,计算机网络,会议,B
7,MobiHoc,International Symposium on Mobile Ad Hoc Networking and Computing,ACM/IEEE,http://dblp.org/db/conf/mobihoc/,计算机网络,会议,B
8,NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,ACM,http://dblp.org/db/conf/nossdav/,计算机网络,会议,B
9,IWQoS,International Workshop on Quality of Service,IEEE,http://dblp.org/db/conf/iwqos/,计算机网络,会议,B
10,IMC,Internet Measurement Conference,ACM/USENIX,http://dblp.org/db/conf/imc/,计算机网络,会议,B
1,ANCS,Architectures for Networking and Communications Systems,ACM/IEE E,http://dblp.org/db/conf/ancs/,计算机网络,会议,C
2,APNOMS,Asia-Pacific Network Operations and Management Symposium,IFIP/IEEE,http://dblp.org/db/conf/apnoms/,计算机网络,会议,C
3,FORTE,Formal Techniques for Networked and Distributed Systems,Springer,http://dblp.org/db/conf/forte/,计算机网络,会议,C
4,LCN,IEEE Conference on Local Computer Networks,IEEE,http://dblp.org/db/conf/lcn/,计算机网络,会议,C
5,GLOBECO M,IEEE Global Communications Conference,IEEE,http://dblp.org/db/conf/globecom/,计算机网络,会议,C
6,ICC,IEEE International Conference on Communications,IEEE,http://dblp.org/db/conf/icc/,计算机网络,会议,C
7,ICCCN,IEEE International Conference on Computer Communications and Networks,IEEE,http://dblp.org/db/conf/icccn/,计算机网络,会议,C
8,MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,IEEE,http://dblp.org/db/conf/mass/index.html,计算机网络,会议,C
9,P2P,IEEE International Conference on Peer-to-Peer Computing,IEEE,http://dblp.org/db/conf/p2p/,计算机网络,会议,C
10,IPCCC,IEEE International Performance Computing and Communications Conference,IEEE,http://dblp.org/db/conf/ipccc/,计算机网络,会议,C
11,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",IEEE,http://dblp.org/db/conf/wowmom/,计算机网络,会议,C
12,ISCC,IEEE Symposium on Computers and Communications,IEEE,http://dblp.org/db/conf/iscc/,计算机网络,会议,C
13,WCNC,IEEE Wireless Communications & Networking Conference,IEEE,http://dblp.org/db/conf/wcnc/,计算机网络,会议,C
14,Networking,IFIP International Conferences on Networking,IFIP,http://dblp.uni- trier.de/db/conf/networking/index.html,计算机网络,会议,C
15,IM,IFIP/IEEE International Symposium on Integrated Network Management,IFIP/IEEE,http://dblp.org/db/conf/im/index.html,计算机网络,会议,C
16,MSN,International Conference on Mobile Ad-hoc and Sensor Networks,IEEE,https://dblp.org/db/conf/msn/,计算机网络,会议,C
17,MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",ACM,http://dblp.org/db/conf/mswim/,计算机网络,会议,C
18,WASA,"International Conference on Wireless Algorithms, Systems, and Applications",Springer,http://dblp.org/db/conf/wasa/,计算机网络,会议,C
19,HotNets,The Workshop on Hot Topics in Networks,ACM,http://dblp.org/db/conf/hotnets/,计算机网络,会议,C
20,APNet,Asia-Pacific Workshop on Networking,ACM,https://dblp.org/db/conf/apnet/index.html,计算机网络,会议,C
1,TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,http://dblp.org/db/journals/tdsc/,网络与信息安全,期刊,A
2,TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.org/db/journals/tifs/,网络与信息安全,期刊,A
3,,Journal of Cryptology,Springer,http://dblp.org/db/journals/joc/,网络与信息安全,期刊,A
1,TOPS,ACM Transactions on Privacy and Security,ACM,https://tops.acm.org/,网络与信息安全,期刊,B
2,,Computers & Security,Elsevier,http://dblp.org/db/journals/compsec/,网络与信息安全,期刊,B
3,,"Designs, Codes and Cryptography",Springer,http://dblp.org/db/journals/dcc/,网络与信息安全,期刊,B
4,JCS,Journal of Computer Security,IOS Press,http://dblp.org/db/journals/jcs/,网络与信息安全,期刊,B
1,CLSR,Computer Law and Security Review,Elsevier,http://www.journals.elsevier.com/computer-law-and- security-review/,网络与信息安全,期刊,C
2,,EURASIP Journal on Information Security,Springer,http://dblp.org/db/journals/ejisec/,网络与信息安全,期刊,C
3,,IET Information Security,IET,http://dblp.org/db/journals/iet-ifs/,网络与信息安全,期刊,C
