NO,short,full,press,link,domain,kind,rank
9,IJSWIS,International Journal on Semantic Web and Information Systems,IGI,http://dblp.org/db/journals/ijswis/,数据库/数据挖掘/内容检索,期刊,C
10,JCIS,Journal of Computer Information Systems,IACIS,http://dblp.org/db/journals/jcis/,数据库/数据挖掘/内容检索,期刊,C
11,JDM,Journal of Database Management,IGI-Global,http://dblp.org/db/journals/jdm/,数据库/数据挖掘/内容检索,期刊,C
12,JGITM,Journal of Global Information Technology Management,Ivy League Publishing,http://www.tandfonline.com/loi/ugit20#.Vnv35pN97rI,数据库/数据挖掘/内容检索,期刊,C
13,JIIS,Journal of Intelligent Information Systems,Springer,http://dblp.org/db/journals/jiis/,数据库/数据挖掘/内容检索,期刊,C
14,JSIS,Journal of Strategic Information Systems,Elsevier,http://dblp.org/db/journals/jsis/,数据库/数据挖掘/内容检索,期刊,C
15,DSE,Data Science and Engineering,CCF,https://dblp.org/db/journals/dase/index.html,数据库/数据挖掘/内容检索,期刊,C
1,SIGMOD,ACM Conference on Management of Data,ACM,http://dblp.org/db/conf/sigmod/,数据库/数据挖掘/内容检索,会议,A
2,SIGKDD,ACM Knowledge Discovery and Data Mining,ACM,http://dblp.org/db/conf/kdd/,数据库/数据挖掘/内容检索,会议,A
3,ICDE,IEEE International Conference on Data Engineering,IEEE,http://dblp.org/db/conf/icde/,数据库/数据挖掘/内容检索,会议,A
4,SIGIR,International Conference on Research on Development in Information Retrieval,ACM,http://dblp.org/db/conf/sigir/,数据库/数据挖掘/内容检索,会议,A
5,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann/ACM,http://dblp.org/db/conf/vldb/,数据库/数据挖掘/内容检索,会议,A
1,CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.org/db/conf/cikm/,数据库/数据挖掘/内容检索,会议,B
2,WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.org/db/conf/wsdm/,数据库/数据挖掘/内容检索,会议,B
3,PODS,ACM Symposium on Principles of Database Systems,ACM,http://dblp.org/db/conf/pods/,数据库/数据挖掘/内容检索,会议,B
4,DASFAA,Database Systems for Advanced Applications,Springer,http://dblp.org/db/conf/dasfaa/,数据库/数据挖掘/内容检索,会议,B
5,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.org/db/conf/ecml/ http://dblp.org/db/conf/pkdd/,数据库/数据挖掘/内容检索,会议,B
6,ISWC,IEEE International Semantic Web Conference,IEEE,http://dblp.org/db/conf/semweb/,数据库/数据挖掘/内容检索,会议,B
7,ICDM,International Conference on Data Mining,IEEE,http://dblp.org/db/conf/icdm/,数据库/数据挖掘/内容检索,会议,B
8,ICDT,International Conference on Database Theory,Springer,http://dblp.org/db/conf/icdt/,数据库/数据挖掘/内容检索,会议,B
9,EDBT,International Conference on Extending DB Technology,Springer,http://dblp.org/db/conf/edbt/,数据库/数据挖掘/内容检索,会议,B
10,CIDR,International Conference on Innovative Data Systems Research,Online Proceeding,http://dblp.org/db/conf/cidr/,数据库/数据挖掘/内容检索,会议,B
11,SDM,SIAM International Conference on Data Mining,SIAM,http://dblp.org/db/conf/sdm/,数据库/数据挖掘/内容检索,会议,B
12,RecSys,ACM Conference on Recommender Systems,ACM,https://dblp.org/db/conf/recsys/index.html,数据库/数据挖掘/内容检索,会议,B
1,APWeb,Asia Pacific Web Conference,Springer,http://dblp.org/db/conf/apweb/,数据库/数据挖掘/内容检索,会议,C
2,DEXA,Database and Expert System Applications,Springer,http://dblp.org/db/conf/dexa/,数据库/数据挖掘/内容检索,会议,C
3,ECIR,European Conference on IR Research,Springer,http://dblp.org/db/conf/ecir/,数据库/数据挖掘/内容检索,会议,C
4,ESWC,Extended Semantic Web Conference,Springer,http://dblp.org/db/conf/esws/,数据库/数据挖掘/内容检索,会议,C
5,WebDB,International ACM Workshop on Web and Databases,ACM,http://dblp.org/db/conf/webdb/,数据库/数据挖掘/内容检索,会议,C
6,ER,International Conference on Conceptual Modeling,Springer,http://dblp.org/db/conf/er/,数据库/数据挖掘/内容检索,会议,C
7,MDM,International Conference on Mobile Data Management,IEEE,http://dblp.org/db/conf/mdm/,数据库/数据挖掘/内容检索,会议,C
8,SSDBM,International Conference on Scientific and Statistical DB Management,IEEE,http://dblp.org/db/conf/ssdbm/,数据库/数据挖掘/内容检索,会议,C
9,WAIM,International Conference on Web Age Information Management,Springer,http://dblp.org/db/conf/waim/,数据库/数据挖掘/内容检索,会议,C
10,SSTD,International Symposium on Spatial and Temporal Databases,Springer,http://dblp.org/db/conf/ssd/,数据库/数据挖掘/内容检索,会议,C
11,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.org/db/conf/pakdd/,数据库/数据挖掘/内容检索,会议,C
12,WISE,Web Information Systems Engineering,Springer,http://dblp.org/db/conf/wise/,数据库/数据挖掘/内容检索,会议,C
13,ADMA,The International Conference on Advanced Data Mining and Applications,Springer,https://dblp.org/db/conf/adma/index.html,数据库/数据挖掘/内容检索,会议,C
1,TIT,IEEE Transactions on Information Theory,IEEE,http://dblp.org/db/journals/tit/,计算机科学理论,期刊,A
2,IANDC,Information and Computation,Elsevier,http://dblp.org/db/journals/iandc/,计算机科学理论,期刊,A
3,SICOMP,SIAM Journal on Computing,SIAM,http://dblp.org/db/journals/siamcomp/,计算机科学理论,期刊,A
1,TALG,ACM Transactions on Algorithms,ACM,http://dblp.org/db/journals/talg/,计算机科学理论,期刊,B
2,TOCL,ACM Transactions on Computational Logic,ACM,http://dblp.org/db/journals/tocl/,计算机科学理论,期刊,B
3,TOMS,ACM Transactions on Mathematical Software,ACM,http://dblp.org/db/journals/toms/,计算机科学理论,期刊,B
4,Algorithmica,Algorithmica,Springer,http://dblp.org/db/journals/algorithmica/,计算机科学理论,期刊,B
5,CC,Computational Complexity,Springer,http://dblp.org/db/journals/cc/,计算机科学理论,期刊,B
6,FAC,Formal Aspects of Computing,Springer,http://dblp.org/db/journals/fac/,计算机科学理论,期刊,B
7,FMSD,Formal Methods in System Design,Springer,http://dblp.org/db/journals/fmsd/,计算机科学理论,期刊,B
8,INFORMS,INFORMS Journal on Computing,INFORMS,http://dblp.org/db/journals/informs/,计算机科学理论,期刊,B
9,JCSS,Journal of Computer and System Sciences,Elsevier,http://dblp.org/db/journals/jcss/,计算机科学理论,期刊,B
10,JGO,Journal of Global Optimization,Springer,http://dblp.org/db/journals/jgo/,计算机科学理论,期刊,B
11,JSC,Journal of Symbolic Computation,Elsevier,http://dblp.org/db/journals/jsc/,计算机科学理论,期刊,B
12,MSCS,Mathematical Structures in Computer Science,Cambridge University Press,http://dblp.org/db/journals/mscs/,计算机科学理论,期刊,B
13,TCS,Theoretical Computer Science,Elsevier,http://dblp.org/db/journals/tcs/,计算机科学理论,期刊,B
1,ACTA,Acta Informatica,Springer,http://dblp.org/db/journals/acta/,计算机科学理论,期刊,C
2,APAL,Annals of Pure and Applied Logic,Elsevier,http://dblp.org/db/journals/apal/,计算机科学理论,期刊,C
3,DAM,Discrete Applied Mathematics,Elsevier,http://dblp.org/db/journals/dam/,计算机科学理论,期刊,C
4,FUIN,Fundamenta Informaticae,IOS Press,http://dblp.org/db/journals/fuin/,计算机科学理论,期刊,C
5,LISP,Higher-Order and Symbolic Computation,Springer,http://dblp.org/db/journals/lisp/,计算机科学理论,期刊,C
6,IPL,Information Processing Letters,Elsevier,http://dblp.org/db/journals/ipl/,计算机科学理论,期刊,C
7,JCOMPLEXITY,Journal of Complexity,Elsevier,http://dblp.org/db/journals/jc/,计算机科学理论,期刊,C
8,LOGCOM,Journal of Logic and Computation,Oxford University Press,http://dblp.org/db/journals/logcom/,计算机科学理论,期刊,C
9,JSL,Journal of Symbolic Logic,Association for Symbolic Logic,http://dblp.org/db/journals/jsyml/,计算机科学理论,期刊,C
10,LMCS,Logical Methods in Computer Science,LMCS,http://dblp.org/db/journals/lmcs/,计算机科学理论,期刊,C
11,SIDMA,SIAM Journal on Discrete Mathematics,SIAM,http://dblp.org/db/journals/siamdm/,计算机科学理论,期刊,C
12,,Theory of Computing Systems,Springer,http://dblp.org/db/journals/mst/,计算机科学理论,期刊,C
1,STOC,ACM Symposium on the Theory of Computing,ACM,http://dblp.org/db/conf/stoc/,计算机科学理论,会议,A
2,SODA,ACM-SIAM Symposium on Discrete Algorithms,SIAM,http://dblp.org/db/conf/soda/,计算机科学理论,会议,A
3,CAV,Computer Aided Verification,Springer,http://dblp.org/db/conf/cav/,计算机科学理论,会议,A
4,FOCS,IEEE Annual Symposium on Foundations of Computer Science,IEEE,http://dblp.org/db/conf/focs/,计算机科学理论,会议,A
5,LICS,IEEE Symposium on Logic in Computer Science,IEEE,http://dblp.org/db/conf/lics/,计算机科学理论,会议,A
1,SoCG,ACM Symposium on Computational Geometry,ACM,http://dblp.org/db/conf/compgeom/,计算机科学理论,会议,B
2,ESA,European Symposium on Algorithms,Springer,http://dblp.org/db/conf/esa/,计算机科学理论,会议,B
3,CCC,IEEE Conference on Computational Complexity,IEEE,http://dblp.org/db/conf/coco/,计算机科学理论,会议,B
4,ICALP,"International Colloquium on Automata, Languages and Programming",Springer,http://dblp.org/db/conf/icalp/,计算机科学理论,会议,B
5,CADE/IJCAR,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,Springer,http://dblp.org/db/conf/cade/,计算机科学理论,会议,B
6,CONCUR,International Conference on Concurrency Theory,Springer,http://dblp.org/db/conf/concur/,计算机科学理论,会议,B
7,HSCC,International Conference on Hybrid Systems: Computation and Control,Springer and ACM,http://dblp.org/db/conf/hybrid/,计算机科学理论,会议,B
8,SAT,Theory and Applications of Satisfiability Testing,Springer,http://dblp.org/db/conf/sat/,计算机科学理论,会议,B
9,COCOON,International Computing and Combinatorics Conference,Springer,https://dblp.org/db/conf/cocoon/index.html,计算机科学理论,会议,B
1,CSL,Computer Science Logic,Springer,http://dblp.org/db/conf/csl/,计算机科学理论,会议,C
2,FMCAD,Formal Methods in Computer-Aided Design,ACM,http://dblp.org/db/conf/fmcad/,计算机科学理论,会议,C
3,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,http://dblp.org/db/conf/fsttcs/,计算机科学理论,会议,C
4,DSAA,IEEE International Conference on Data Science and Advanced Analytics,IEEE,https://dblp.org/db/conf/dsaa/,计算机科学理论,会议,C
5,ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,http://dblp.org/db/conf/ictac/,计算机科学理论,会议,C
6,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,http://dblp.org/db/conf/ipco/,计算机科学理论,会议,C
7,RTA,International Conference on Rewriting Techniques and Applications,Springer,http://dblp.org/db/conf/rta/,计算机科学理论,会议,C
8,ISAAC,International Symposium on Algorithms and Computation,Springer,http://dblp.org/db/conf/isaac/,计算机科学理论,会议,C
9,MFCS,Mathematical Foundations of Computer Science,Springer,http://dblp.org/db/conf/mfcs/,计算机科学理论,会议,C
10,STACS,Symposium on Theoretical Aspects of Computer Science,Springer,http://dblp.org/db/conf/stacs/,计算机科学理论,会议,C
11,SETTA,"International Symposium on Dependable Software Engineering: Theories, Tools, and Applications",Springer,https://dblp.org/db/conf/setta/index.html,计算机科学理论,会议,C
1,TOG,ACM Transactions on Graphics,ACM,http://dblp.org/db/journals/tog/,计算机图形学与多媒体,期刊,A
2,TIP,IEEE Transactions on Image Processing,IEEE,http://dblp.org/db/journals/tip/,计算机图形学与多媒体,期刊,A
3,TVCG,IEEE Transactions on Visualization and Computer Graphics,IEEE,http://dblp.org/db/journals/tvcg/,计算机图形学与多媒体,期刊,A
1,TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Application",ACM,http://dblp.org/db/journals/tomccap/,计算机图形学与多媒体,期刊,B
2,CAGD,Computer Aided Geometric Design,Elsevier,http://dblp.org/db/journals/cagd/,计算机图形学与多媒体,期刊,B
3,CGF,Computer Graphics Forum,Wiley,http://dblp.org/db/journals/cgf/,计算机图形学与多媒体,期刊,B
4,CAD,Computer-Aided Design,Elsevier,http://dblp.org/db/journals/cad/,计算机图形学与多媒体,期刊,B
5,GM,Graphical Models,Elsevier,http://dblp.org/db/journals/cvgip/,计算机图形学与多媒体,期刊,B
6,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,http://dblp.org/db/journals/tcsv/,计算机图形学与多媒体,期刊,B
7,TMM,IEEE Transactions on Multimedia,IEEE,http://dblp.org/db/journals/tmm/,计算机图形学与多媒体,期刊,B
8,JASA,Journal of The Acoustical Society of America,AIP,http://scitation.aip.org/content/asa/journal/jasa,计算机图形学与多媒体,期刊,B
9,SIIMS,SIAM Journal on Imaging Sciences,SIAM,http://dblp.org/db/journals/siamis/,计算机图形学与多媒体,期刊,B
10,Speech Com,Speech Communication,Elsevier,http://dblp.org/db/journals/speech/,计算机图形学与多媒体,期刊,B
1,CGTA,Computational Geometry: Theory and Applications,Elsevier,http://dblp.org/db/journals/comgeo/,计算机图形学与多媒体,期刊,C
2,CAVW,Computer Animation and Virtual Worlds,Wiley,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1546 -427X,计算机图形学与多媒体,期刊,C
3,C&G,Computers & Graphics,Elsevier,http://dblp.org/db/journals/cg/,计算机图形学与多媒体,期刊,C
4,DCG,Discrete & Computational Geometry,Springer,http://dblp.org/db/journals/dcg/,计算机图形学与多媒体,期刊,C
5,SPL,IEEE Signal Processing Letters,IEEE,http://dblp.org/db/journals/spl/,计算机图形学与多媒体,期刊,C
6,IET-IPR,IET Image Processing,IET,http://dblp.org/db/journals/iet-ipr/,计算机图形学与多媒体,期刊,C
7,JVCIR,Journal of Visual Communication and Image Representation,Elsevier,http://dblp.org/db/journals/jvcir/,计算机图形学与多媒体,期刊,C
8,MS,Multimedia Systems,Springer,http://dblp.org/db/journals/mms/,计算机图形学与多媒体,期刊,C
9,MTA,Multimedia Tools and Applications,Springer,http://dblp.org/db/journals/mta/,计算机图形学与多媒体,期刊,C
10,,Signal Processing,Elsevier,http://dblp.org/db/journals/sigpro/,计算机图形学与多媒体,期刊,C
11,SPIC,Signal Processing: Image Communication,Elsevier,http://dblp.org/db/journals/spic/,计算机图形学与多媒体,期刊,C
12,TVC,The Visual Computer,Springer,http://dblp.org/db/journals/vc/,计算机图形学与多媒体,期刊,C
13,CVMJ,Computational Visual Media,Tsinghua University; Springer,https://dblp.org/db/journals/cvm/index.html,计算机图形学与多媒体,期刊,C
1,ACM MM,ACM International Conference on Multimedia,ACM,http://dblp.org/db/conf/mm/,计算机图形学与多媒体,会议,A
2,SIGGRAPH,ACM SIGGRAPH Annual Conference,ACM,http://dblp.org/db/conf/siggraph/index.html,计算机图形学与多媒体,会议,A
3,VR,IEEE Virtual Reality,IEEE,http://dblp.org/db/conf/vr/,计算机图形学与多媒体,会议,A
4,IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.org/db/conf/visualization/index.html,计算机图形学与多媒体,会议,A
1,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.org/db/conf/mir/,计算机图形学与多媒体,会议,B
2,SI3D,ACM Symposium on Interactive 3D Graphics,ACM,http://dblp.org/db/conf/si3d/,计算机图形学与多媒体,会议,B
3,SCA,ACM/Eurographics Symposium on Computer Animation,ACM,http://dblp.org/db/conf/sca/index.html,计算机图形学与多媒体,会议,B
4,DCC,Data Compression Conference,IEEE,http://dblp.org/db/conf/dcc/,计算机图形学与多媒体,会议,B
5,EG,Eurographics,Wiley/ Blackwell,http://dblp.org/db/conf/eurographics/,计算机图形学与多媒体,会议,B
6,EuroVis,Eurographics Conference on Visualization,ACM,http://dblp.org/db/conf/vissym/,计算机图形学与多媒体,会议,B
7,SGP,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.org/db/conf/sgp/,计算机图形学与多媒体,会议,B
8,EGSR,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.org/db/conf/rt/,计算机图形学与多媒体,会议,B
9,ICASSP,"IEEE International Conference on Acoustics, Speech and SP",IEEE,http://dblp.org/db/conf/icassp/,计算机图形学与多媒体,会议,B
10,ICME,IEEE International Conference on Multimedia & Expo,IEEE,http://dblp.org/db/conf/icmcs/,计算机图形学与多媒体,会议,B
11,ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.org/db/conf/ismar/,计算机图形学与多媒体,会议,B
12,PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,Wiley/Blackwell,http://dblp.org/db/conf/pg/index.html,计算机图形学与多媒体,会议,B
13,SPM,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.org/db/conf/sma/,计算机图形学与多媒体,会议,B
1,,ACM Symposium on Virtual Reality Software and Technology,ACM,http://dblp2.uni-trier.de/db/conf/vrst/,计算机图形学与多媒体,会议,C
2,CASA,Computer Animation and Social Agents,Wiley,http://dblp.org/db/conf/ca/,计算机图形学与多媒体,会议,C
3,CGI,Computer Graphics International,Springer,http://dblp.org/db/conf/cgi/,计算机图形学与多媒体,会议,C
4,INTERSPEECH,Conference of the International Speech Communication Association,,http://dblp.org/db/conf/interspeech/index.html,计算机图形学与多媒体,会议,C
5,GMP,Geometric Modeling and Processing,Elsevier,http://dblp.org/db/conf/gmp/,计算机图形学与多媒体,会议,C
6,PacificVis,IEEE Pacific Visualization Symposium,IEEE,http://dblp.org/db/conf/apvis/,计算机图形学与多媒体,会议,C
7,3DV,International Conference on 3D Vision,IEEE,https://dblp.org/db/conf/3dim/,计算机图形学与多媒体,会议,C
8,CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics,IEEE,https://dblp.org/db/conf/cadgraphics/,计算机图形学与多媒体,会议,C
9,ICIP,International Conference on Image Processing,IEEE,http://dblp.org/db/conf/icip/,计算机图形学与多媒体,会议,C
10,MMM,International Conference on Multimedia Modeling,Springer,http://dblp.org/db/conf/mmm/index.html,计算机图形学与多媒体,会议,C
11,PCM,Pacific-Rim Conference on Multimedia,Springer,http://dblp.org/db/conf/pcm/,计算机图形学与多媒体,会议,C
12,SMI,Shape Modeling International,IEEE,http://dblp.org/db/conf/smi/,计算机图形学与多媒体,会议,C
13,ICVRV,International Conference on Virtual Reality and Visualization,IEEE,https://www.computer.org/csdl/proceedings/1800579,计算机图形学与多媒体,会议,C
14,CVM,Computational Visual Media,Tsinghua University,https://dblp.org/db/conf/cvm/index.html,计算机图形学与多媒体,会议,C
15,PRCV,Chinese Conference on Pattern Recognition and Computer Vision (中国模式识别与计算机视觉大会),Springer,https://dblp.org/db/conf/prcv/index.html,计算机图形学与多媒体,会议,C
1,AI,Artificial Intelligence,Elsevier,http://dblp.org/db/journals/ai/,人工智能,期刊,A
2,TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence,IEEE,http://dblp.org/db/journals/pami/,人工智能,期刊,A
3,IJCV,International Journal of Computer Vision,Springer,http://dblp.org/db/journals/ijcv/,人工智能,期刊,A
4,JMLR,Journal of Machine Learning Research,MIT Press,http://dblp.org/db/journals/jmlr/,人工智能,期刊,A
1,TAP,ACM Transactions on Applied Perception,ACM,http://dblp.org/db/journals/tap/,人工智能,期刊,B
2,TSLP,ACM Transactions on Speech and Language Processing,ACM,http://dblp.org/db/journals/tslp/,人工智能,期刊,B
3,AAMAS,Autonomous Agents and Multi-Agent Systems,Springer,http://dblp.org/db/journals/aamas/,人工智能,期刊,B
4,,Computational Linguistics,MIT Press,http://dblp.org/db/journals/coling/,人工智能,期刊,B
5,CVIU,Computer Vision and Image Understanding,Elsevier,http://dblp.org/db/journals/cviu/,人工智能,期刊,B
6,DKE,Data and Knowledge Engineering,Elsevier,http://dblp.org/db/journals/dke/index.html,人工智能,期刊,B
7,,Evolutionary Computation,MIT Press,http://dblp.org/db/journals/ec/,人工智能,期刊,B
8,TAC,IEEE Transactions on Affective Computing,IEEE,http://dblp.org/db/journals/taffco/,人工智能,期刊,B
9,TASLP,"IEEE Transactions on Audio, Speech, and Language Processing",IEEE,http://dblp.org/db/journals/taslp/,人工智能,期刊,B
10,,IEEE Transactions on Cybernetics,IEEE,http://dblp.org/db/journals/tcyb/,人工智能,期刊,B
11,TEC,IEEE Transactions on Evolutionary Computation,IEEE,http://dblp.org/db/journals/tec/,人工智能,期刊,B
12,TFS,IEEE Transactions on Fuzzy Systems,IEEE,http://dblp.org/db/journals/tfs/,人工智能,期刊,B
13,TNNLS,IEEE Transactions on Neural Networks and learning systems,IEEE,http://dblp.org/db/journals/tnn/,人工智能,期刊,B
14,IJAR,International Journal of Approximate Reasoning,Elsevier,http://dblp.org/db/journals/ijar/,人工智能,期刊,B
15,JAIR,Journal of Artificial Intelligence Research,AAAI,http://dblp.org/db/journals/jair/index.html,人工智能,期刊,B
16,,Journal of Automated Reasoning,Springer,http://dblp.org/db/journals/jar/,人工智能,期刊,B
17,JSLHR,"Journal of Speech, Language, and Hearing Research",American Speech- Language Hearing Association,http://jslhr.pubs.asha.org/,人工智能,期刊,B
18,,Machine Learning,Springer,http://dblp.org/db/journals/ml/,人工智能,期刊,B
19,,Neural Computation,MIT Press,http://dblp.org/db/journals/neco/,人工智能,期刊,B
